timestamp_utc,region,az,instance_type,product,spot_price,price_timestamp_utc
2026-08-26T22:23:04Z,ap-south-1,ap-south-1a,g5.xlarge,Linux/UNIX,0.520100,2026-08-26T20:00:00Z
2026-08-26T22:23:04Z,ap-south-1,ap-south-1a,g5.xlarge,Windows,0.304800,2026-08-26T20:00:00Z
2026-08-26T22:23:04Z,ap-south-1,ap-south-1b,g5.xlarge,Linux/UNIX,0.479500,2026-08-26T22:00:00Z
2026-08-26T22:23:04Z,ap-south-1,ap-south-1b,g5.xlarge,Windows,0.304800,2026-08-26T20:00:00Z
2026-08-26T22:23:04Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Linux/UNIX,0.717700,2026-08-26T22:00:00Z
2026-08-26T22:23:04Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Windows,0.455600,2026-08-26T19:00:00Z
2026-08-26T22:23:04Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Linux/UNIX,0.818400,2026-08-26T22:00:00Z
2026-08-26T22:23:04Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Windows,0.374900,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1a,g5.xlarge,Linux/UNIX,0.963300,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1a,g5.xlarge,Windows,0.352800,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1b,g5.xlarge,Linux/UNIX,0.774900,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1b,g5.xlarge,Windows,0.330700,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1c,g5.xlarge,Linux/UNIX,0.673600,2026-08-27T03:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1c,g5.xlarge,Windows,0.325200,2026-08-26T23:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1d,g5.xlarge,Linux/UNIX,0.592700,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1d,g5.xlarge,Windows,0.328300,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1f,g5.xlarge,Linux/UNIX,0.565200,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,us-east-1,us-east-1f,g5.xlarge,Windows,0.324500,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2a,g5.xlarge,Linux/UNIX,0.396200,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2a,g5.xlarge,Windows,0.284600,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2b,g5.xlarge,Linux/UNIX,0.376500,2026-08-26T23:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2b,g5.xlarge,Windows,0.284600,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2c,g5.xlarge,Linux/UNIX,0.349700,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,us-east-2,us-east-2c,g5.xlarge,Windows,0.284600,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2a,g5.xlarge,Linux/UNIX,0.535000,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2a,g5.xlarge,Windows,0.284600,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2b,g5.xlarge,Linux/UNIX,0.517400,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2b,g5.xlarge,Windows,0.284600,2026-08-27T03:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2c,g5.xlarge,Linux/UNIX,0.515200,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,us-west-2,us-west-2c,g5.xlarge,Windows,0.330700,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,ap-northeast-1,ap-northeast-1a,g5.xlarge,Linux/UNIX,0.819500,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,ap-northeast-1,ap-northeast-1a,g5.xlarge,Windows,0.329900,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,ap-northeast-1,ap-northeast-1c,g5.xlarge,Linux/UNIX,0.857900,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,ap-northeast-1,ap-northeast-1c,g5.xlarge,Windows,0.329900,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2a,g5.xlarge,Linux/UNIX,0.424300,2026-08-26T20:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2a,g5.xlarge,Windows,0.307700,2026-08-26T22:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2c,g5.xlarge,Linux/UNIX,0.402800,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2c,g5.xlarge,Windows,0.307700,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2d,g5.xlarge,Linux/UNIX,0.357500,2026-08-26T21:00:00Z
2026-08-27T03:05:41Z,ap-northeast-2,ap-northeast-2d,g5.xlarge,Windows,0.307800,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,ap-south-1,ap-south-1a,g5.xlarge,Linux/UNIX,0.516600,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,ap-south-1,ap-south-1a,g5.xlarge,Windows,0.304800,2026-08-27T00:00:00Z
2026-08-27T03:05:41Z,ap-south-1,ap-south-1b,g5.xlarge,Linux/UNIX,0.477500,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,ap-south-1,ap-south-1b,g5.xlarge,Windows,0.304800,2026-08-26T20:00:00Z
2026-08-27T03:05:41Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Linux/UNIX,0.718100,2026-08-27T01:00:00Z
2026-08-27T03:05:41Z,ap-southeast-2,ap-southeast-2a,g5.xlarge,Windows,0.454700,2026-08-26T23:00:00Z
2026-08-27T03:05:41Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Linux/UNIX,0.826800,2026-08-27T02:00:00Z
2026-08-27T03:05:41Z,ap-southeast-2,ap-southeast-2c,g5.xlarge,Windows,0.374900,2026-08-26T22:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1a,g5.xlarge,Linux/UNIX,0.962100,2026-08-27T10:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1a,g5.xlarge,Windows,0.351100,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1b,g5.xlarge,Linux/UNIX,0.768700,2026-08-27T08:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1b,g5.xlarge,Windows,0.330600,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1c,g5.xlarge,Linux/UNIX,0.660100,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1c,g5.xlarge,Windows,0.325500,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1d,g5.xlarge,Linux/UNIX,0.584300,2026-08-27T08:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1d,g5.xlarge,Windows,0.327800,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1f,g5.xlarge,Linux/UNIX,0.558300,2026-08-27T08:00:00Z
2026-08-27T14:06:09Z,us-east-1,us-east-1f,g5.xlarge,Windows,0.324400,2026-08-27T12:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2a,g5.xlarge,Linux/UNIX,0.389300,2026-08-27T09:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2a,g5.xlarge,Windows,0.284600,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2b,g5.xlarge,Linux/UNIX,0.373700,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2b,g5.xlarge,Windows,0.284600,2026-08-27T10:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2c,g5.xlarge,Linux/UNIX,0.346800,2026-08-27T11:00:00Z
2026-08-27T14:06:09Z,us-east-2,us-east-2c,g5.xlarge,Windows,0.284600,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2a,g5.xlarge,Linux/UNIX,0.534800,2026-08-27T11:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2a,g5.xlarge,Windows,0.284600,2026-08-27T11:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2b,g5.xlarge,Linux/UNIX,0.515600,2026-08-27T08:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2b,g5.xlarge,Windows,0.284600,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2c,g5.xlarge,Linux/UNIX,0.506900,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,us-west-2,us-west-2c,g5.xlarge,Windows,0.330800,2026-08-27T10:00:00Z
2026-08-27T14:06:09Z,ap-northeast-1,ap-northeast-1a,g5.xlarge,Linux/UNIX,0.816600,2026-08-27T08:00:00Z
2026-08-27T14:06:09Z,ap-northeast-1,ap-northeast-1a,g5.xlarge,Windows,0.329900,2026-08-27T12:00:00Z
2026-08-27T14:06:09Z,ap-northeast-1,ap-northeast-1c,g5.xlarge,Linux/UNIX,0.858800,2026-08-27T10:00:00Z
2026-08-27T14:06:09Z,ap-northeast-1,ap-northeast-1c,g5.xlarge,Windows,0.329900,2026-08-27T14:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2a,g5.xlarge,Linux/UNIX,0.420000,2026-08-27T09:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2a,g5.xlarge,Windows,0.307700,2026-08-27T11:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2c,g5.xlarge,Linux/UNIX,0.397300,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2c,g5.xlarge,Windows,0.307700,2026-08-27T09:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2d,g5.xlarge,Linux/UNIX,0.357400,2026-08-27T06:00:00Z
2026-08-27T14:06:09Z,ap-northeast-2,ap-northeast-2d,g5.xlarge,Windows,0.307700,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,ap-south-1,ap-south-1a,g5.xlarge,Linux/UNIX,0.510500,2026-08-27T13:00:00Z
2026-08-27T14:06:09Z,ap-south-1,ap-south-1a,g5.xlarge,Windows,0.304800,2026-08-27T09:00:00Z
2026-08-27T14:06:09Z,ap-south-1,ap-south-1b,g5.xlarge,Linux/UNIX,0.476200,2026-08-27T10:00:00Z
2026-08-27T14:06:09Z,ap-south-1,ap-south-1b,g5.xlarge,Windows,0.304800,2026-08-27T09:00:00Z
